title,rating,people_count,year
末路狂花,9.0,339026,1991
高山下的花环,9.5,153974,1984
绿里奇迹,8.9,384318,1999
爱在午夜降临前,8.9,467731,2013
海街日记,8.8,515792,2015
疯狂的石头,8.6,917917,2006
风之谷,8.9,391058,1984
雨中曲,9.1,264789,1952
上帝之城,9.0,331088,2002
2001太空漫游,8.9,389616,1968
心迷宫,8.7,610498,2014
英雄本色,8.6,601865,1986
机器人之梦,9.1,402363,2023
记忆碎片,8.7,663877,2000
纵横四海,8.8,470503,1991
卢旺达饭店,8.9,364588,2004
无敌破坏王,8.7,607104,2012
小偷家族,8.7,889760,2018
恐怖游轮,8.5,980295,2009
冰川时代,8.7,681203,2002
牯岭街少年杀人事件,8.9,363913,1991
东京教父,9.0,285489,2003
魔女宅急便,8.7,520162,1989
芙蓉镇,9.3,186510,1987
岁月神偷,8.7,610176,2010
忠犬八公物语,9.2,216901,1987
荒蛮故事,8.7,512428,2014
遗愿清单,8.7,532167,2007
大佛普拉斯,8.7,547780,2017
源代码,8.6,918558,2011
疯狂的麦克斯4：狂暴之路,8.7,613305,2015
你看起来好像很好吃,8.9,372588,2010
贫民窟的百万富翁,8.6,803103,2008
花束般的恋爱,8.6,812689,2021
可可西里,8.9,342863,2004
城市之光,9.3,170667,1931
白日梦想家,8.6,635059,2013
波西米亚狂想曲,8.6,684192,2018
爆裂鼓手,8.6,684621,2014
东邪西毒,8.6,631621,1994
青蛇,8.6,596897,1993
爱乐之城,8.4,1085102,2016
哈利·波特与死亡圣器(上),8.6,687828,2010
无耻混蛋,8.7,554931,2009
终结者2：审判日,8.8,381529,1991
黑天鹅,8.6,842024,2010
大红灯笼高高挂,8.8,364844,1991
初恋这件小事,8.5,1046669,2010
新龙门客栈,8.7,504314,1992
人工智能,8.7,498054,2001
雨人,8.7,440493,1988
崖上的波妞,8.6,570304,2008
千钧一发,8.8,346039,1997
虎口脱险,8.9,292689,1966
罗生门,8.8,355210,1950
哈利·波特与凤凰社,8.6,687326,2007
真爱至上,8.5,800409,2003
彗星来的那一夜,8.6,676310,2013
恋恋笔记本,8.5,742616,2004
海边的曼彻斯特,8.6,645011,2016
火星救援,8.5,824400,2015
黑客帝国2：重装上阵,8.7,451724,2003
步履不停,8.8,323254,2008
奇迹男孩,8.6,597237,2017
